valuation in MM,Name,Website,Description,Growth Score,Mindshare Score,Employee Count,Est. Monthly Uniques,Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Continent,Revenue Range,Business Models,Industries,Keywords
43,Change Healthcare,http://changehealthcare.com,"Change Healthcare is a leading provider of software, network solutions, and technology-enabled services that optimize communications, payments, and analytics.",282,254,93,5556,55,2007,Exited (acquired),BlueCross BlueShield Venture Partners|Global Investment Partners|HLM Venture Partners|Mitsui & Co|Mitsui & Co. Global Investment|Noro-Moseley Partners|Sandbox Industries|Solidus Company|West Health Investment Fund,25300000,8/13/13,15000000,Nashville,Nashville,North America,$25M - $50M,B2B,health insurance|healthcare|payments,doctors|health & wellness|medical
3354,Clearent,http://clearent.com,"A payment processor serving sales agents, financial institutions and merchants with services and benefits including next-day funding with a late cut-off time and graphical, Web-based reporting.",121,-46,249,2544,34,2005,Late,FTV Capital,25000000,5/1/15,25000000,St. Louis,Clayton,North America,$100M - $250M,B2B,banking|enterprise software|finance|information security|payments|security,
134,Mswipe Technologies,http://mswipetech.com,"mswipes wisepad is wireless payment system which provides mobile payment service. It has hardware systems with downloadable apps. Supports credit card POS payments, debit card POS payments also supports cards with EMV Chip.",946,24,621,2610,32,2011,C,DSG Consumer Partners (DSGCP)|Falcon Edge Capital|Matrix Partners|Matrix Partners India|Meru Capital|Ola Cabs,25000000,7/21/15,25000000,Mumbai,Mumbai,Asia,,B2B,banking|finance|mobile|payments,pos
29,Reserve,http://reserve.com,Book reservations and discover the best restaurants in your city.,520,495,78,101735,13,2014,C,Advancit Capital|Diageo Technology Ventures|First Round Capital|Human Ventures Capital|Lowercase Capital|SV Angel|Sherpa Capital|Venture51|Visionnaire Ventures,25000000,2/1/17,10000000,New York,New York,North America,,B2C|On-Demand,fashion|food & beverages|hospitality|human resources hr|mobile|payments|travel,fashion|location based services (lbs)
287,Zapp,http://zapp.co.uk,"Pay By Bank app is simple, speedy and secure. Join the banking revolution today!",-22,-3,20,2855,57,2013,A,,25000000,6/25/13,25000000,Blackfriars,Blackfriars,Europe,,,banking|information security|payments|security,
730,Norse,http://norse-corp.com,"Norse offers proactive security solutions, based on our global ""dark intelligence"" platform, to defend against today's advanced threats.",-392,-198,36,32654,29,2010,A,Capital Innovators|KPMG|Oak Investment Partners,24950000,9/30/15,11400000,Bay Area,Foster City,North America,$25M - $50M,B2B|SaaS,enterprise software|information security|payments|physical security|security,payments
16,Blispay,http://blispay.com,"Blispay is a mobile centric, consumer lending company that enables retailers of all sizes to offer promotional financing terms right to consumers on their mobile devices.",91,35,41,14,10,2014,A,Accomplice Venture Capital|David Chang|FirstMark Capital|New Enterprise Associates|TriplePoint Capital,24750000,5/23/17,12000000,Baltimore,Baltimore,North America,,B2C,banking|finance|mobile|payments,credit cards|payments
50,Garlik,http://garlik.com,Garlik's DataPatrol helps people take control of their personal information and protect themselves against identity theft and financial fraud...,16,22,4,365,107,1996,Exited (acquired),3i Group|Doughty Hanson & Co Technology Ventures|Draper Esprit|Noble Fund Managers,24690000,4/23/09,2340000,Nottingham,Nottingham,Europe,$5M - $10M,B2B,banking|finance|information security|media|payments|security,
176,Aver,http://aver.io,Aver is dedicated to making positive changes to the healthcare payment system.,0,-46,79,16,26,2010,B,Allan Zeise|Allen Zeise|Andy Wojack|Angels on the Water|Cardinal Health|Crista Wojack|David Lisle|Ed Karrels|Eric Kessenich|GE Ventures|Green Bay Advisors|Hearst Ventures|Heritage Group|Jeff Harris|Jeffery Harris|John Schmidt|Michael Kluiber|NCT Ventures|Peter Skanaivs|Ross Bjella|Silicon Pastures|StartUp Health|Thomas DeMell|Thomas Shannon|Thomas Vincent|Tom DeMell|Wisconsin Investment Partners,24575000,1/5/16,13600000,Columbus,Columbus,North America,$25M - $50M,B2B|SaaS,cloud computing|e-commerce|healthcare|payments,data mining|payments
2260,Moven,http://moven.com,"Moven allows customers to make mobile payments with ease via a MasterCard PayPass payment sticker, deposit checks from anywhere using their smartphone, and pay a friend via Facebook.",-124,-119,42,36574,29,2011,B,Anthemis|Jim Pallotta|Kevin Plank|Life.SREDA|New York Angels|Raptor Ventures|Route 66 Ventures|SBT Venture Capital|Standard Bank,24410000,10/14/15,12000000,New York,New York,North America,,B2C,finance|mobile|payments,android
11698,Shopgate,http://shopgate.com,Create beautiful mobile apps for your store,50,-18,145,619157,25,2009,C,Andrea Anderheggen|Creathor Venture|Northcap Partners,24400000,2/25/16,15000000,Austin,Austin,North America,$25M - $50M,B2B|B2C,e-commerce|marketing|mobile|payments|retail,mobile commerce
1806,Fooda,http://fooda.com,"Powered by technology, Fooda provides awesome food at reasonable prices to employees while at work. Fooda brings fantastic local restaurants right to you. Fooda-approved local restaurants serve, drop off or deliver tasty food to your location.",336,25,230,75716,6,2011,C,500 Startups|KGC Capital|Lightbank|Valor Equity Partners,24400000,9/26/17,12500000,Chicago,Chicago,North America,$25M - $50M,B2B|B2C|On-Demand,consumer services|e-commerce|food & beverages|mobile|payments,
214,Eversight,http://eversightlabs.com,Eversight's SaaS solutions help CPGs and retailers deploy better in-store promotions by harnessing the power of digital A/B testing.,100,82,61,249,13,2013,B,Bow Capital|Emergence Capital Partners|Kindred Partners|Sutter Hill Ventures,24200000,2/9/17,,Bay Area,Palo Alto,North America,$5M - $10M,B2B|SaaS,advertising|enterprise software|marketing|payments|retail,consumer goods
9579,ChargeBee,http://chargebee.com,"Chargebee lets you automate your recurring billing, manage subscriptions at scale and access metrics that matter.",93,-39,126,512620,0,2011,C,Accel Partners|Insight Venture Partners|Tiger Global Management,24170000,3/20/18,18000000,Los Angeles,Walnut,North America,$5M - $10M,B2B|Subscription,cloud computing|finance|mobile|payments,payments
1043,Malauzai Software,http://malauzai.com,Malauzai Softwareis a provider of mobile banking smart apps for community financial institutions.,201,139,112,396,32,2009,Late,Live Oak Bank|Wellington Management,24055000,7/16/15,11000000,Austin,Austin,North America,$5M - $10M,B2B,banking|finance|mobile|payments,android
25,Palyon Medical,http://palyoncorp.com,Learn about palyoncorp.com from this business profile provided by Network Solutions,-16,0,8,2,103,2003,A,BB Biotech Ventures|Baird Capital|Cross Atlantic Capital Partners|Fountain Healthcare Partners|Hambrecht & Quist,24000000,8/10/09,24000000,Los Angeles,Santa Clarita,North America,,B2B,healthcare|payments|telecommunications,
16,Ingogo,http://ingogo.com.au,ingogo is a free Australian taxi application for reserving taxis and making payments.,17,6,44,,33,2011,C,ATP Innovations|Canaccord Genuity Corp|Craig Winkler|UBS Investment Bank|VentureCrowd,23600000,5/27/15,12000000,Australia,,Oceania,,B2C|Marketplace|On-Demand,mobile|payments|travel,
28,fastacash,http://fastacash.com,"fastacash provides a global payments platform which allows users to transfer value (money, airtime, other tokens of value, etc.) along with digital content (photos, videos, audio, messages) through social networks and messaging platforms, enabling secure and cost-effective transactions domestically and internationally.",-175,-145,23,9268,32,2012,B,Golden Oriole Investments|Jagdish Chanrai|Jungle Ventures|Life.SREDA|Plug and Play Ventures|Rising Dragon Singapore|Spring SEEDS Capital|Spring Singapore|UVM 2 Venture Investments,23500000,7/14/15,15000000,Singapore,Singapore,Asia,$5M - $10M,B2C,banking|data storage|finance|information security|marketing|payments|security|social networking|storage,
37,Plastic Jungle,http://plasticjungle.com,"CardCash makes it fun to buy and sell gift cards online. We carry gift cards to over 1,000 stores at up to 35% off. Get cash for gift cards too. Free shipping.",0,0,16,113,74,,Exited (acquired),Bay Partners|Citi Ventures|First Round Capital|Harrison Metal|Icon Ventures (formerly Jafco Ventures)|Redpoint Ventures|Shasta Ventures|Western Technology Investment,23400000,1/18/12,,Bay Area,San Mateo,North America,,B2C,consumer services|e-commerce|finance|payments,
45,Paidy,http://paidy.com,Paidy is a new way for consumers to pay at online stores .,543,497,30,8422,19,2013,B,500 Startups|Arbor Ventures|Eight Roads Ventures|Itochu|MS Capital|SBI Investment|SIG Ventures China,23300000,7/27/16,15000000,Tokyo,Tokyo,Asia,,,e-commerce|payments,payments
400,Trulioo,http://trulioo.com,"Trulioo, the leading global identity verification service, provides instant electronic identity & address verification for 4 billion people in 60+ countries",460,406,61,1450,27,2011,B,American Express Ventures|BDC Venture Capital|Blumberg Capital|Plug and Play Ventures|Tenfore Holdings,23300000,12/14/15,15000000,Vancouver,Vancouver,North America,$5M - $10M,B2B|SaaS,dating|enterprise software|finance|information security|marketing|payments|security,dating
1415,Loylty Rewardz,http://loylty.com,"Loylty Rewardz focuses on preparation and delivery of custom and measurable loyalty programs that create profitability and lasting relationships for its clients. With over a decade of experience in Customer Relationship Management activities behind them, their tightly knit network brings together data intelligence, data analytics, creative services, interactive portal management, reward processing technology, rewards procurement, communication and direct marketing for their clientele. ",-4,-168,309,26802,32,2006,B,Canaan Partners|IndiaIdeas|Innoven Partners,23300000,7/13/15,18900000,Andheri,Andheri,Asia,$25M - $50M,B2B|Consulting,banking|enterprise software|finance|marketing|payments,
291,UpLift,http://uplift.com,UpLift is partnering with merchants to empower payment influence in both travel and e-commerce industries and with nonprofits.,250,212,40,1166,3,2014,A,Draper Nexus|Erik Blachford|Highgate Ventures|IDG Ventures|PAR Capital Management|Thayer Ventures,23200000,12/22/17,15000000,Bay Area,Sunnyvale,North America,,B2B,analytics|banking|marketing|marketing analytics|payments|travel,
873,Thanx,http://thanx.com,Thanx makes marketing effortless for multi-location merchants.,78,-87,88,11132,15,2011,B,Andy Rachleff|BoxGroup|Floodgate Fund|Icon Ventures (formerly Jafco Ventures)|Javelin Venture Partners|Red Swan Ventures|Sequoia Capital|SoftTech VC|XG Ventures,23100000,12/8/16,17100000,Bay Area,San Francisco,North America,$5M - $10M,B2B|B2C,customer support|marketing|mobile|payments,crm|loyalty / rewards|productivity|relationship management
34863,Stitch Labs,http://stitchlabs.com,"Centralize retail and wholesale inventory, sales, and fulfillment into a single platform for greater visibility, insight, and control across your business.",-18,-23,65,589125,29,2011,B,Alex Bard|Costanoa Venture Capital|Cuban Council|Gary Benitt|Greg Sands|Greg Waldorf|Rishi Narayan|Triangle Peak Partners|True Ventures,23000000,10/20/15,15000000,Bay Area,San Francisco,North America,$1M - $5M,B2B|SaaS,e-commerce|human resources hr|payments|retail,cloud computing|crm|productivity|relationship management|small & medium sized business
2,Soonr,http://soonr.com,Soonr is a secure cloud service enabling teams to work together on shared digital content from any device.,-816,-817,36,49455,93,2005,Exited (acquired),Cisco Investments|Clearstone Venture Partners|HighBar Partners|Intel Capital|Presidio Ventures|Sand Hill Angels |Sand Hill Capital,23000000,6/9/10,4500000,Bay Area,San Jose,North America,$1M - $5M,B2B,cloud computing|data storage|enterprise software|information security|mobile|payments|security|storage,cloud computing
52,Lystable,http://lystable.com,"Lystable is a platform that helps enterprises search, manage and evaluate external parties including freelancers, businesses and service. It allows companies to easily connect with the right partners in their network.",-205,-379,84,488,12,2015,A,Backed Capital|Courtney Grant|Dan Stuart|Fundfire|Glynn Capital Management|Goldcrest Investments|Leila Rastegar Zegna|London 2014 Winter|Mark Evans|Mick Hagen|Nancy Fechnay|Playfair Capital|Richard Fearn|SciFi VC|Spring Partners|Techstars|Valar Ventures,22610000,3/23/17,10000000,London,London,Europe,,,consumer services|enterprise software|human resources hr|payments,supply chain management
9834,Twice,http://liketwice.com,Twice operates a concierge-style online marketplace for secondhand fashion. ,22,-8,55,520703,50,2012,Exited (acquired),Alex Rampell|Andreessen Horowitz|CrunchFund|Elad Gil|Felicis Ventures|Great Oaks Venture Capital|High Line Venture Partners|IA Ventures|Jack Abraham|Jeff Jordan|John Maloney|Lerer Ventures|Maria Thomas|Michael Lazerow|SV Angel|WTI,22500000,1/16/14,18500000,Bay Area,San Francisco,North America,$25M - $50M,B2B|B2C|Marketplace,e-commerce|fashion|payments,collaborative consumption|consignment|fashion
124,BitWine,http://bitwine.com,"Get an accurate Psychic Reading from a live, online Psychic. Free until you are ready. Online psychic love readings, tarot reading, clairvoyant, via online chat at the Online Psychic Network.",-368,-382,41,84748,113,2006,Exited (acquired),Crossbar Capital|Patriot Capital Funding,22500000,10/5/08,21000000,New York,Tenafly,North America,$1M - $5M,B2C,consumer services|payments,messaging
11,Splitit,http://splitit.com,"Splitit enables both ecommerce and brick & mortar merchants to offer interest-free monthly installment payments to their customers at the point of sale. Customers do not have to apply for a new credit line or qualify for a new credit card. Splitit works on their existing credit cards so customers also enjoy all of their regular credit card benefits such as points, cash-back and mileage. For merchants, having this additional payment option can mean increased conversion rates, higher average tickets, increased customer satisfaction and reduced barriers to purchase.",61,57,18,,23,2009,A,Aurum Partners ,22500000,4/1/16,22500000,New York,New York,North America,,B2B,banking|finance|payments,
36,Cybera,http://cybera.com,Cybera provides simplified secure application networks to help companies achieve their business goals.,-6,-34,158,41,30,2001,Late,Adams Street Partners|Chrysalis Ventures|Claritas Capital|Sumeru Equity Parnters,22394393,9/15/15,,Nashville,Franklin,North America,,B2B,data storage|information security|network / hosting / infrastructure|payments|physical security|security|storage,
9142,Iyzico,http://iyzico.com,"Provide split payment and single payment services to your merchants with iyzico. Fast, economic and secure payment with fix commisson is at iyzico!",681,526,116,480897,11,2012,C,212 Ventures|Amadeus Capital Partners|Endeavor Catalyst|International Finance Corporation (IFC)|Speedinvest|Vostok Emerging Finance,22200000,4/3/17,3000000,Istanbul,Istanbul,Europe,$5M - $10M,,payments,
143,PayCommerce,http://paycommerce.com,"PayCommerce provides Software-as-a-Service for Enterprise payments and remittance to optimize working capital, reduce cost and improve",-129,-184,86,43,17,2007,B,Tritium Partners,22000000,10/18/16,22000000,New York,Edison,North America,$25M - $50M,B2B,banking|finance|information security|payments|security,
624,Ingo Money,http://ingomoney.com,"Cash checks on a mobile device anytime, anywhere. Get your money in minutes in your bank, PayPal, and prepaid card accounts or buy an Amazon.com Gift Card.",59,-17,155,2243,35,2001,Late,CNF Investments|Camden Partners|Kickstart Seed Fund|MissionOG|Spring Capital Partners,21900000,4/13/15,13500000,Atlanta,Roswell,North America,$10M - $25M,B2C,banking|consumer services|finance|mobile|payments,
65,Prevoty,http://prevoty.com,See how Prevoty's award-winning LANGSEC technology monitors and secures applications in production.,-37,-99,34,529,3,2013,B,Core Ventures Group|Daher Capital|Digi Ventures|Double M Partners|Eric Hahn|InVenture|Karlin Ventures|Paige Craig|Plus Capital|Trident Capital|US Venture Partners,21700000,12/6/17,13000000,Los Angeles,Los Angeles,North America,$5M - $10M,B2B,data storage|enterprise software|information security|payments|physical security|security|storage,social media
91366,Jaxtr,http://jaxtr.com,Jaxtr International  SIM Cards - Jaxtr is a prepaid USA SIM Card that gives you the freedom to call local and international without paying exorbitant rates and fees.,35,35,9,18189,117,2007,Exited (acquired),August Capital|Draper Fisher Jurvetson (DFJ)|Draper Richards|Lehman Brothers|Mangrove Capital Partners|Mayfield Fund|Pejman Nozad|Reid Hoffman,21500000,6/23/08,10000000,Bay Area,Menlo Park,North America,$1M - $5M,B2C,mobile|payments|telecommunications|travel,voip
9,Appconomy,http://appconomy.com,"Appconomy operates a global platform that increases app revenue for brands, retailers, service providers and mobile carriers.",-17,-1,16,118,31,2010,C,Neusoft Group|QiMing Venture Partners|True Ventures|Western Technology Investment,21500000,8/3/15,1000000,Austin,Austin,North America,$5M - $10M,,enterprise software|internet of things|marketing|mobile|payments,
198,Brickstream,http://brickstream.com,"FLIR - Brickstream people counting and tracking sensors provide a wide range of traffic, queue, service, other behavior metrics for brick and mortar sites.",-104,-81,24,77,65,2000,C,Columbia Capital|Eastward Capital Partners|Mohr Davidow Ventures|RBC Venture Partners|Relay Ventures,21468583,10/5/12,4000000,Atlanta,Norcross,North America,$25M - $50M,B2B|B2C,analytics|enterprise software|payments|retail,
871,CommunityLend,http://communitylend.com,Financeit is the best way to increase your sales and attract new customers by providing in-house sales financing.,-1,-1,124,14,51,2011,A,,21400000,11/19/13,13000000,Toronto,Toronto,North America,$5M - $10M,B2B,banking|customer support|finance|mobile|payments,payments
1381,Ecrebo,http://ecrebo.com,Ecrebo's POS-based technology opens up a marketing channel enabling retailers to deliver targeted offers at the till alongside paper or digital receipts.,3,-46,64,20,12,2009,B,JosephScull|Octopus Investments|Sir Keith Mills,21257120,2/22/17,15000000,Reading,Reading,Europe,$1M - $5M,B2B,advertising|analytics|marketing|marketing analytics|payments,
72,Credible,http://credible.com,Credible enables college students and graduates to compare personalized loan offers from multiple lenders in one place.,166,12,117,56190,14,2012,B,Carthona Capital|Redbus Group|Regal Funds Management|Ron Suber|Scott Langmack|Soul Htite,21200000,1/18/17,10000000,Bay Area,San Francisco,North America,$5M - $10M,B2C,banking|education|finance|payments,
143,Motionsoft,http://motionsoft.net,"Makes member management and billing software used by gyms, hotels and hospitals.",59,38,103,408,44,1985,B,Edison Partners|Route 66 Ventures,21199976,7/15/14,10000000,Rockville,Rockville,North America,$10M - $25M,B2B,fitness and wellness|human resources hr|payments,
138,MoBeam,http://mobeam.com,"Mobeam allows users to redeem coupons, tickets, gifts and loyalty cards directly from POS-supported smartphones by using barcode technology.",-151,-118,7,3080,29,2010,B,Ben DuPoint|DFJ Athena|Mitsui & Co. Global Investment|Samsung Ventures|yet2.com|yet2Ventures,20690228,10/26/15,6200000,Bay Area,Palo Alto,North America,$5M - $10M,B2B|B2C,information security|mobile|payments|security|telecommunications,
794,Omni Water Solutions,http://omniwatersolutions.com,Omni Water Solutions is specialized in developing and deploying mobile water treatment platforms for water re-use.,-21,-1,8,16,38,2009,A,Austin Ventures,20600325,1/8/15,5000000,Austin,Austin,North America,$5M - $10M,B2B,banking|cleantech|energy|finance|payments,
40,VisitPay,http://visitpay.com,"VisitPay empowers your health system to manage patient relationships better than a bank to increase payments, drive yield, and improve patient satisfaction.",156,123,44,,4,2010,B,Ascension Health Ventures|Inova Health System|Intermountain Health Care|Norwest Venture Partners|Saint Lukeäó»s Health System,20514737,11/7/17,15000000,Boise,Boise,North America,$5M - $10M,B2B,banking|enterprise software|health it|healthcare|healthcare providers|payments,health & wellness
16,Flint,http://flint.com,"The easiest way to accept credit card payments and invoice with just your phone. No card reader required. Top app to scan cards, send mobile invoices, and get paid.",-205,-184,1,68858,41,2011,C,Digicel|Peninsula Ventures|SVG Partners|Storm Ventures|True Ventures|Verizon Ventures,20400000,10/22/14,9400000,Bay Area,Redwood City,North America,$5M - $10M,B2B|B2C,finance|marketing|mobile|payments,location based services (lbs)
63,Omise,http://omise.co,Omise is a payment gateway based in Thailand that is designed to help merchants accept payments on any platform.,398,259,86,12811,5,2013,B,500 Startups|Ascend Venture Group|East Ventures|Golden Gate Ventures|Krungsri|Mitsubishi UFJ Financial Group|SBI Investment|SMDV|Sinar Mas Digital Ventures|True Group,20400000,9/28/17,,Bangkok,Bangkok,North America,$1M - $5M,B2C,e-commerce|finance|information security|mobile|payments|security,payments|social commerce
3390,Oink,http://oink.com,Oink offers a payment service for children to make purchases online in a manner that is approved and monitored by their parents.,-112,-80,8,4360,49,,A,,20375595,1/30/14,5045000,Los Angeles,Hermosa Beach,North America,$1M - $5M,B2C,banking|information security|payments|security,
28,TIO Networks,http://tionetworks.com,TIO Networks is a cloud-based multi-channel bill payment processor that provides billers and customers convenient access to accounts.,10,34,81,2733,25,1997,Exited (ipo),Core VC|IA Capital Group,20308030,2/1/16,3666210,British Columbia,British Columbia,North America,$25M - $50M,B2B,banking|finance|payments,android
844,Personal,http://personal.com,Personal was founded to empower people with their data.,-59,-65,49,19084,53,2009,B,Allen & Company|Bill Miller|Eric Semler|Grotech Ventures|Revolution LLC,20259255,10/15/13,4500000,Washington,Washington,North America,$5M - $10M,B2B|B2C,data storage|information security|mobile|payments|security|storage,
937,M-Factor,http://m-factor.com,"M-Factor develops web-based profit and revenue optimization software for the consumer goods, retail and restaurant sectors.",0,4,4,2,109,,Exited (acquired),Bay Partners|Norwest Venture Partners|Pelion Venture Partners|US Venture Partners,20150000,2/10/09,10050000,Bay Area,San Mateo,North America,$1M - $5M,B2B|SaaS,payments,
209378,QwikCilver,http://qwikcilver.com,"Qwikcilver Solutions -  The Leading fully integrated, end-to-end service provider in the Prepaid Stored-Value Gift Cards Space",177,9,284,21663,20,2007,Late,Accel India Ventures|Accel Partners|Amazon|Helion Venture Partners|Sistema,20000000,7/25/16,10000000,India,,Asia,$50M - $100M,B2B|B2C|Consulting,human resources hr|payments,
-144,Source Technologies,http://sourcetech.com,Our industry-leading secure MICR check printing solutions and self-service kiosks cut costs and reduce the risk of fraud.,-104,-104,75,220,105,1986,Late,,20000000,6/12/09,20000000,Charlotte,Charlotte,North America,$10M - $25M,B2B|B2C,data storage|information security|payments|physical security|security|storage,
1037,Powerhive,http://powerhive.com,"Unlocking productive, clean electricity for millions of people in emerging markets.",225,162,63,25,26,2011,A,Caterpillar Ventures|Pi Investments|Prelude Ventures|Tao Capital Partners|Total Energy Ventures,20000000,1/25/16,20000000,Bay Area,Berkeley,North America,$5M - $10M,SaaS,cleantech|cloud computing|energy|oil & gas|payments|solar power|wind power,solar|sustainability
171,iControl Systems,http://icucsolutions.com,"iControl provides technology and expertise for retailers, suppliers and distributors to improve collaboration through data, payments, and analytics.",-104,-121,89,400,29,2005,Late,Goldman Sachs,20000000,10/17/15,20000000,Burtonsville,Burtonsville,North America,$25M - $50M,B2B,analytics|enterprise software|finance|payments,big data|outsourcing
142,Odysii,http://odysii.com,Learn More About How to Increase Same Store Sales and Strengthen Loyalty,0,-4,41,188,117,,Exited (acquired),Benchmark|Giza Venture Capital,20000000,6/7/08,20000000,Herzeliya,Herzeliya,Asia,$50M - $100M,B2B,advertising|marketing|payments,
36,Global-e,http://global-e.com,"Global-e is Europeäó»s leading provider of comprehensive cross-border solutions that enables retailers to transact locally with customers in more than 200 destinations worldwide offering a localised, seamless international customer experience.",169,0,148,194,22,2013,Late,Red Dot Ventures,20000000,5/10/16,20000000,London,London,Europe,,B2B,payments,
61647,Tempo Payments,http://tempo.com,Tempo Payments provides innovative payment technology solutions for issuers and affinity partners.,450,456,0,221459,103,,Late,Cardinal Venture Capital|HSBC|Integral Capital Partners|Selby Ventures,20000000,8/10/09,2700000,Bay Area,San Mateo,North America,$10M - $25M,B2C,mobile|payments,
778,IdenTrust,http://identrust.com,"IdenTrust provides digital identity authentication solutions to financial institutions, government agencies, and corporations.",-41,-61,61,10905,154,1993,B,Enterprise Partners|Rho Capital Partners,20000000,5/27/05,20000000,Bay Area,San Francisco,North America,$10M - $25M,B2B,data storage|email|enterprise software|hardware|hardware peripherals|information security|network / hosting / infrastructure|payments|security|storage,
93,Infopia,http://infopia.com,Infopia provides e-commerce software and services that enable merchants to grow their online businesses.,7,4,18,1702,119,1999,C,BC Select Fund|Hummer Winblad Venture Partners|Pelion Venture Partners|Trans Pacific Partners|Trident Capital,20000000,4/15/08,12000000,Salt Lake City,Salt Lake City,North America,$5M - $10M,B2B,payments,
40681,Recurly,http://recurly.com,Recurly provides enterprise-class subscription billing management for thousands of businesses worldwide.,111,5,147,971207,41,2009,B,500 Startups|Dave McClure|Dharmesh Shah|F-Prime Capital Partners|Fidelity Investments|Freestyle Capital|Greycroft Partners|Harrison Metal|Polaris Partners|Sherry Coutu|e.ventures,19600000,10/20/14,12000000,Bay Area,San Francisco,North America,$25M - $50M,B2B|SaaS,enterprise software|finance|marketing|payments,accounting|billing|payments
991,Calastone,http://calastone.com,Calastone is a global transaction network for the mutual fund industry.,124,34,145,809,54,2007,B,Accel Partners|Octopus Investments,19580000,9/11/13,18000000,London,London,Europe,$5M - $10M,B2B,finance|payments,
29,AutoLotto,http://autolotto.com,"Lottery Results, Scan Tickets, Powerball & MegaMillions | AutoLotto",-284,-339,39,1618,8,2015,A,500 Startups|500 Startups Batch 14 (Fall 2015)|Aurum Partners |Ben Narasin|Bruce Gibney|Jason Port|Ryan Scott|Tom Arrix,19400000,7/10/17,17000000,Bay Area,San Francisco,North America,,B2C,customer support|finance|mobile|payments,
52,CircleBack Lending,http://circlebacklending.com,"Personal loans make life possible!  Get a no collateral, personal loan up to ${{$formatted_max_loan_amt}} to consolidate high interest debt, take that dream vacation and more...",-53,-83,58,16263,32,2012,A, Stephen Schuler|Daniel Tierney|Pine River Capital Management,19400000,7/21/15,17500000,Miami,Boca Raton,North America,$25M - $50M,B2C,banking|e-commerce|finance|payments,banking|lending|wealth management
7746,Livemocha,http://livemocha.com,Learn to speak a new language with Rosetta Stone(r).,-184,-148,25,602344,61,2007,Exited (acquired),August Capital|Kindred Partners|Maveron,19389998,2/25/13,240000,Seattle,Seattle,North America,$100M - $250M,B2C,education|payments,language learning
196,Shelfbucks,http://shelfbucks.com,Shelfbucks #1 In-store Merchandising Optimization Mobile Media Platform programs for continuous improvement Insights Smart Displays Data Analytics CPG's Retail,195,164,34,261,2,2013,B,,19100000,1/10/18,9000000,Austin,Austin,North America,$5M - $10M,Advertising|B2B|B2C,advertising|analytics|e-commerce|marketing|marketing analytics|mobile|payments|retail,advertising network|mobile advertising
3287,HealthifyMe,http://healthifyme.com,"Comprehensive lifestyle tracking platform. Powered by India's top nutritionists, trainers and yoga instructors. Personalised diet and workout plans anytime.",396,311,194,72062,1,2012,B, IDG Ventures India| Samsung Next|Amit Gupta|Atlas Asset Management|Blume Ventures|Dream Incubator|Gopal Srinivasan|IDG Ventures India|Inventus Capital Partners|Micromax Informatics|Microsoft Ventures|NB Ventures|Neelesh Bhatnagar|Pallav Nadhani|Roopa Nath|Sashi Reddi|Silicon Valley-based Samsung Next|Sistema Asia Fund,19000000,2/9/18,12000000,Bangalore,Bangalore,Asia,$25M - $50M,B2B,enterprise software|fitness and wellness|health it|healthcare|mobile|payments,android|fitness|health & wellness|wearables
36,Payworks,http://payworks.com,"Payworks (www.payworks.com) is the provider of Pulse, a next generation Point of Sale payment gateway technology. With Pulse, developers of Point of Sale solutions for merchants can quickly and cost-efficiently integrate card payment functionality into their applications, and securely process EMV, contactless and mobile wallet transactions at the Point of Sale. With headquarters in Germany and offices in the UK, the US and Spain, Payworks provides its technology to leading acquirers and payment providers globally.",-85,-85,49,,1,2012,B, Finparx| Speedinvest |HW Capital|TCommerz Ventures|Visa Ventures,19000000,2/14/18,14500000,Munich,Munich,Europe,,B2B,finance|payments,
20,Traxpay,http://traxpay.com,"Traxpay offers a faster, safer, smarter way to do B2B commerce by enabling a complete end-to-end solution for financial transactions.",-212,-213,17,5565,42,2009,B,Apax Partners|Castik Capital Partners|Commerzbank|Earlybird Venture Capital|Main Incubator|Software AG,19000000,9/23/14,15000000,Bay Area,Silicon Valley,North America,$5M - $10M,B2B|Consulting,banking|enterprise software|finance|payments,payments
23,AdmitOne Security,http://admitonesecurity.com,AdmitOne Security provides authentication and security software solutions for preventing fraudulent use of digital identities.,0,0,,2,122,,C,Citrix Systems|Ignition Partners|OVP Venture Partners|RRE Ventures,19000000,1/8/08,11000000,Seattle,Issaquah,North America,,B2B,data storage|enterprise software|information security|payments|physical security|security|storage,
142,Zoona,http://mtzl.net,"Zoona enables entrepreneurs to process mobile money transaction, bill payments and other financial services to those traditionally lacking access to banking services.",351,39,280,1,19,2009,B,4Di Capital|Accion|Frontier Investments Group|International Finance Corporation (IFC)|Lundin Foundation|Omidyar Network|Quona Capital,19000000,8/18/16,15000000,Lusaka,Lusaka,Africa,,,banking|finance|payments,
158,Iconixx,http://iconixx.com,Iconixx Software is a complete solution provider for Incentive Compensation Management.,-134,-52,40,3778,10,2010,C,Ballast Point Ventures|Harbert European Growth Capital Fund|Harbert Management Corporation|S3 Ventures,18964900,5/2/17,4200000,Austin,Austin,North America,$10M - $25M,B2B,human resources hr|payments,
